Product ID,Product Name,Category,Warehouse,Location,Quantity,Price,Supplier,Status,Last Restocked
1566, widget b ,CLOTHING,Warehouse 3,Aisle 1,two hundred,49.99,Peterson Inc,Out of Stock,25/04/2023
1243, gadget z ,TOYS,Warehouse 2,Aisle 1,two hundred,9.99,"Mcfarland, Rojas and Vasquez",In Stock,25/04/2023
1831, gadget z ,TOYS,Warehouse 2,Aisle 4,300,,Ortega-Rose,Low Stock,20/12/2022
1504, widget c ,CLOTHING,Warehouse 3,Aisle 3,50,19.99,"Weaver, Cruz and Hall",Out of Stock,20/12/2022
1130, widget c ,ELECTRONICS,Warehouse 3,Aisle 5,two hundred,9.99,"Gonzales, Porter and Smith",In Stock,05/03/2023
1484, widget b ,CLOTHING,Warehouse 3,Aisle 2,100,,Arellano-Massey,In Stock,20/12/2022
1818, gadget x ,TOYS,Warehouse 3,Aisle 4,150,29.99,Woods LLC,Low Stock,
1646, widget a ,ELECTRONICS,Warehouse 1,Aisle 2,,49.99,Collins-Thompson,In Stock,15/01/2023
1020, gadget z ,TOYS,Warehouse 3,Aisle 4,300,19.99,Price-Zimmerman,In Stock,20/12/2022
1840, gadget x ,ELECTRONICS,Warehouse 2,Aisle 3,150,49.99,"Middleton, Johnson and Newton",In Stock,25/04/2023
1166, gadget y ,FURNITURE,Warehouse 2,Aisle 3,50,29.99,"Smith, Rodgers and Dodson",In Stock,
1273, gadget z ,TOYS,Warehouse 1,Aisle 3,300,,Brady Group,In Stock,25/04/2023
1387, gadget z ,TOYS,Warehouse 2,Aisle 3,,29.99,Cook-Jacobson,Low Stock,
1600, widget c ,CLOTHING,Warehouse 2,Aisle 1,,29.99,Brown-Hernandez,Low Stock,20/12/2022
1315, widget a ,TOYS,Warehouse 3,Aisle 1,100,49.99,"Stewart, Jones and Kramer",In Stock,15/01/2023
1013, widget a ,TOYS,Warehouse 2,Aisle 5,50,19.99,"Smith, Hamilton and Mccormick",Low Stock,25/04/2023
1241, gadget y ,FURNITURE,Warehouse 1,Aisle 2,300,29.99,"Johnson, Michael and Nguyen",Low Stock,
1776, gadget y ,TOYS,Warehouse 3,Aisle 4,300,49.99,Moses Inc,Out of Stock,05/03/2023
1345, gadget z ,FURNITURE,Warehouse 3,Aisle 4,two hundred,19.99,"Davis, Bell and Hart",In Stock,20/12/2022
1564, widget b ,FURNITURE,Warehouse 1,Aisle 1,100,,"Ward, Fox and Ramos",Low Stock,15/01/2023
1897, widget c ,FURNITURE,Warehouse 3,Aisle 4,100,,"Abbott, Arroyo and Mills",Low Stock,20/12/2022
1339, widget c ,FURNITURE,Warehouse 3,Aisle 1,300,9.99,Martinez and Sons,In Stock,05/03/2023
1091, gadget z ,ELECTRONICS,Warehouse 1,Aisle 5,300,49.99,"Gray, Palmer and Brown",Out of Stock,15/01/2023
1366, gadget x ,CLOTHING,Warehouse 3,Aisle 2,150,19.99,Cruz-Lewis,In Stock,05/03/2023
1955, widget b ,ELECTRONICS,Warehouse 1,Aisle 5,150,29.99,"Leon, Copeland and Watkins",Out of Stock,20/12/2022
1454, gadget z ,TOYS,Warehouse 1,Aisle 3,150,,"Buckley, Harris and Alvarado",In Stock,
1427, widget b ,ELECTRONICS,Warehouse 2,Aisle 3,100,19.99,Stewart-Camacho,In Stock,20/12/2022
1508, widget b ,ELECTRONICS,Warehouse 2,Aisle 3,two hundred,49.99,Jones-Coleman,In Stock,20/12/2022
1775, widget b ,TOYS,Warehouse 3,Aisle 5,,9.99,Nguyen and Sons,In Stock,20/12/2022
1942, gadget z ,TOYS,Warehouse 3,Aisle 4,150,,Schaefer PLC,Out of Stock,25/04/2023
1034, widget c ,TOYS,Warehouse 1,Aisle 2,two hundred,19.99,Mccall-Garcia,Out of Stock,05/03/2023
1205, widget c ,ELECTRONICS,Warehouse 3,Aisle 3,50,19.99,Ellis-Manning,Low Stock,05/03/2023
1080, widget b ,ELECTRONICS,Warehouse 1,Aisle 3,150,19.99,Owens PLC,In Stock,05/03/2023
1931, gadget x ,TOYS,Warehouse 1,Aisle 3,,49.99,"Wagner, Lang and Diaz",Out of Stock,25/04/2023
1561, widget a ,CLOTHING,Warehouse 3,Aisle 2,50,49.99,Johnston Ltd,Out of Stock,
1871, gadget z ,CLOTHING,Warehouse 1,Aisle 3,50,49.99,Nelson LLC,Out of Stock,20/12/2022
1387, widget a ,FURNITURE,Warehouse 2,Aisle 2,,29.99,Alexander Group,In Stock,
1001, gadget x ,TOYS,Warehouse 3,Aisle 3,150,19.99,Alexander PLC,Low Stock,25/04/2023
1389, gadget z ,FURNITURE,Warehouse 2,Aisle 5,100,,Edwards LLC,Out of Stock,05/03/2023
1565, widget b ,CLOTHING,Warehouse 3,Aisle 5,,49.99,Monroe-Morris,In Stock,20/12/2022
1105, widget c ,FURNITURE,Warehouse 1,Aisle 2,,49.99,Potter-Aguilar,Out of Stock,15/01/2023
1771, widget a ,TOYS,Warehouse 3,Aisle 5,,19.99,Holmes-Strong,Out of Stock,15/01/2023
1821, gadget y ,TOYS,Warehouse 2,Aisle 2,50,49.99,"Mcknight, Flores and Myers",Low Stock,
1476, gadget y ,TOYS,Warehouse 1,Aisle 5,two hundred,29.99,Miles-Morales,Out of Stock,05/03/2023
1702, gadget x ,ELECTRONICS,Warehouse 3,Aisle 5,100,29.99,Cole LLC,Out of Stock,15/01/2023
1401, widget b ,FURNITURE,Warehouse 3,Aisle 2,150,49.99,"Anderson, Collins and Carpenter",In Stock,
1729, widget a ,CLOTHING,Warehouse 3,Aisle 4,150,19.99,"Shelton, Sims and Wilson",In Stock,25/04/2023
1555, widget b ,CLOTHING,Warehouse 2,Aisle 5,two hundred,19.99,Ramirez Group,Low Stock,
1161, widget a ,CLOTHING,Warehouse 2,Aisle 3,,19.99,Haynes Ltd,In Stock,
1201, gadget x ,ELECTRONICS,Warehouse 3,Aisle 4,100,9.99,Allen PLC,In Stock,
1957, gadget x ,ELECTRONICS,Warehouse 1,Aisle 2,150,49.99,Miller-Smith,Low Stock,20/12/2022
1995, gadget y ,TOYS,Warehouse 1,Aisle 4,300,19.99,"Martinez, Conner and Mcfarland",Out of Stock,
1269, widget b ,CLOTHING,Warehouse 2,Aisle 1,150,29.99,Johnson PLC,Low Stock,
1862, gadget z ,ELECTRONICS,Warehouse 1,Aisle 1,,,Pennington-Clark,In Stock,20/12/2022
1815, gadget y ,TOYS,Warehouse 2,Aisle 5,300,,Hale-Banks,Low Stock,20/12/2022
1270, widget b ,CLOTHING,Warehouse 3,Aisle 5,two hundred,19.99,Barrett Ltd,Out of Stock,25/04/2023
1455, gadget y ,FURNITURE,Warehouse 2,Aisle 3,100,,Williams-Weeks,Low Stock,05/03/2023
1461, gadget z ,TOYS,Warehouse 2,Aisle 4,two hundred,,Hernandez LLC,In Stock,15/01/2023
1726, widget c ,ELECTRONICS,Warehouse 3,Aisle 1,two hundred,9.99,Hayes-Ramirez,In Stock,15/01/2023
1251, widget c ,ELECTRONICS,Warehouse 1,Aisle 5,100,29.99,"Phillips, Williams and Miller",Low Stock,
1701, widget c ,TOYS,Warehouse 2,Aisle 4,100,29.99,Cortez LLC,Out of Stock,25/04/2023
1295, widget c ,TOYS,Warehouse 2,Aisle 5,150,9.99,"Williams, Smith and Jenkins",Low Stock,
1724, widget a ,ELECTRONICS,Warehouse 3,Aisle 5,150,9.99,Coleman PLC,Out of Stock,15/01/2023
1719, widget c ,FURNITURE,Warehouse 1,Aisle 1,100,,Gaines-Clark,Out of Stock,20/12/2022
1748, gadget z ,CLOTHING,Warehouse 2,Aisle 1,300,49.99,Martin and Sons,Low Stock,05/03/2023
1337, gadget x ,FURNITURE,Warehouse 3,Aisle 5,50,,Adams PLC,Out of Stock,25/04/2023
1878, gadget x ,TOYS,Warehouse 2,Aisle 2,150,9.99,Turner-Wagner,In Stock,20/12/2022
1052, widget a ,FURNITURE,Warehouse 3,Aisle 5,50,29.99,Frost-Baker,Low Stock,05/03/2023
1791, widget c ,ELECTRONICS,Warehouse 1,Aisle 5,300,,Wilson-Williams,Out of Stock,25/04/2023
1921, widget c ,TOYS,Warehouse 1,Aisle 3,100,49.99,"Martin, Li and Harris",In Stock,25/04/2023
1216, widget c ,CLOTHING,Warehouse 1,Aisle 3,300,,Hamilton-Smith,Low Stock,15/01/2023
1763, gadget y ,ELECTRONICS,Warehouse 1,Aisle 3,150,19.99,Yu LLC,In Stock,20/12/2022
1187, widget b ,ELECTRONICS,Warehouse 2,Aisle 2,two hundred,,"Nelson, Bell and Adams",In Stock,25/04/2023
1379, gadget y ,CLOTHING,Warehouse 2,Aisle 2,100,9.99,Williams LLC,In Stock,25/04/2023
1492, widget b ,CLOTHING,Warehouse 1,Aisle 5,,29.99,"Norris, Espinoza and Harris",Out of Stock,05/03/2023
1040, widget c ,FURNITURE,Warehouse 1,Aisle 3,50,29.99,Gomez LLC,Low Stock,15/01/2023
1156, widget c ,TOYS,Warehouse 1,Aisle 2,300,9.99,"Rice, Bass and Thompson",Low Stock,
1014, gadget y ,CLOTHING,Warehouse 2,Aisle 1,100,19.99,Walters Ltd,Out of Stock,15/01/2023
1812, gadget y ,CLOTHING,Warehouse 1,Aisle 5,300,9.99,Ramos-Chandler,Low Stock,
1064, widget b ,TOYS,Warehouse 1,Aisle 4,100,,Johnson-Brock,In Stock,20/12/2022
1856, gadget x ,CLOTHING,Warehouse 1,Aisle 5,150,9.99,Burns-Anderson,Low Stock,20/12/2022
1838, widget b ,CLOTHING,Warehouse 3,Aisle 4,150,9.99,Rocha LLC,Out of Stock,25/04/2023
1520, gadget y ,FURNITURE,Warehouse 1,Aisle 3,150,19.99,Rios-Roberts,In Stock,20/12/2022
1343, gadget z ,ELECTRONICS,Warehouse 3,Aisle 4,300,,Washington Inc,Out of Stock,25/04/2023
1128, gadget y ,ELECTRONICS,Warehouse 3,Aisle 3,,49.99,Taylor and Sons,In Stock,15/01/2023
1647, gadget z ,ELECTRONICS,Warehouse 1,Aisle 1,150,49.99,Payne-Romero,In Stock,20/12/2022
1471, widget a ,ELECTRONICS,Warehouse 3,Aisle 4,100,29.99,Nelson-Tapia,Low Stock,15/01/2023
1062, gadget y ,CLOTHING,Warehouse 1,Aisle 5,150,9.99,"Keith, Smith and Odonnell",In Stock,15/01/2023
1138, widget a ,TOYS,Warehouse 2,Aisle 3,two hundred,29.99,"Savage, Patrick and Torres",Out of Stock,20/12/2022
1498, gadget x ,TOYS,Warehouse 2,Aisle 5,150,19.99,"Perkins, Church and Johnson",Low Stock,15/01/2023
1592, widget b ,FURNITURE,Warehouse 2,Aisle 2,300,49.99,Harris-Perez,Out of Stock,20/12/2022
1391, gadget z ,FURNITURE,Warehouse 2,Aisle 3,,9.99,Jones PLC,In Stock,20/12/2022
1674, widget b ,CLOTHING,Warehouse 3,Aisle 4,two hundred,19.99,"Harmon, Henry and Cole",Out of Stock,20/12/2022
1418, widget a ,TOYS,Warehouse 1,Aisle 3,300,19.99,Oneill-Adkins,Out of Stock,
1288, gadget z ,TOYS,Warehouse 1,Aisle 5,300,9.99,Adams-Pratt,In Stock,15/01/2023
1378, widget b ,ELECTRONICS,Warehouse 1,Aisle 1,300,19.99,Mullen Group,Low Stock,05/03/2023
1772, gadget y ,CLOTHING,Warehouse 2,Aisle 3,100,9.99,Cooper Ltd,Out of Stock,20/12/2022
1489, widget c ,CLOTHING,Warehouse 2,Aisle 4,300,9.99,"Munoz, Bowen and Williams",In Stock,15/01/2023
1230, widget a ,ELECTRONICS,Warehouse 1,Aisle 2,100,,Terrell Group,Low Stock,25/04/2023
1040, widget b ,CLOTHING,Warehouse 2,Aisle 1,300,29.99,Hill-Dickson,Low Stock,20/12/2022
1027, widget a ,CLOTHING,Warehouse 1,Aisle 2,50,19.99,"Kirby, Daniel and Roth",Low Stock,20/12/2022
1134, widget a ,FURNITURE,Warehouse 1,Aisle 3,two hundred,19.99,"Williams, Olsen and Hess",Out of Stock,05/03/2023
1200, gadget z ,TOYS,Warehouse 1,Aisle 5,50,,Garza-Miller,Out of Stock,
1839, gadget z ,CLOTHING,Warehouse 1,Aisle 5,300,,Kelley-Anderson,Out of Stock,
1779, widget c ,FURNITURE,Warehouse 1,Aisle 4,two hundred,,"King, Nelson and Carr",Low Stock,20/12/2022
1929, gadget y ,TOYS,Warehouse 1,Aisle 5,two hundred,49.99,Porter-Good,Out of Stock,15/01/2023
1032, widget a ,ELECTRONICS,Warehouse 1,Aisle 1,,49.99,"Franco, Morgan and Bates",In Stock,25/04/2023
1047, widget b ,FURNITURE,Warehouse 2,Aisle 5,50,49.99,"Dawson, Harding and Williams",Out of Stock,25/04/2023
1502, gadget x ,FURNITURE,Warehouse 1,Aisle 4,,9.99,"Leonard, Nunez and Barker",Out of Stock,15/01/2023
1406, widget a ,TOYS,Warehouse 1,Aisle 3,two hundred,19.99,"Rangel, Blake and Maynard",Low Stock,20/12/2022
1573, widget a ,ELECTRONICS,Warehouse 2,Aisle 3,100,29.99,Moore and Sons,Out of Stock,25/04/2023
1727, widget c ,FURNITURE,Warehouse 2,Aisle 5,two hundred,9.99,Francis Group,In Stock,
1804, gadget y ,CLOTHING,Warehouse 2,Aisle 2,,19.99,"King, Rice and Williams",Low Stock,15/01/2023
1098, gadget x ,CLOTHING,Warehouse 1,Aisle 3,50,19.99,Riggs and Sons,In Stock,05/03/2023
1683, gadget z ,CLOTHING,Warehouse 3,Aisle 5,300,,"Reed, Wright and Garcia",Low Stock,20/12/2022
1871, gadget z ,ELECTRONICS,Warehouse 3,Aisle 4,300,,"Whitney, Francis and Shea",Low Stock,15/01/2023
1725, widget b ,FURNITURE,Warehouse 2,Aisle 5,50,9.99,"Johnson, Sandoval and Carter",Out of Stock,25/04/2023
1986, gadget x ,CLOTHING,Warehouse 3,Aisle 3,300,,Pacheco Group,In Stock,20/12/2022
1546, gadget z ,ELECTRONICS,Warehouse 2,Aisle 4,300,19.99,"Brown, Williams and Hamilton",Low Stock,
1960, widget b ,CLOTHING,Warehouse 1,Aisle 5,,,Smith and Sons,Out of Stock,20/12/2022
1738, gadget y ,TOYS,Warehouse 3,Aisle 1,50,49.99,Calhoun Inc,Low Stock,20/12/2022
1612, widget b ,FURNITURE,Warehouse 1,Aisle 4,150,,"Johnson, Allen and Rowe",Low Stock,
1942, gadget z ,FURNITURE,Warehouse 3,Aisle 1,100,19.99,"Schroeder, Serrano and Baldwin",Low Stock,
1461, widget c ,ELECTRONICS,Warehouse 1,Aisle 2,100,9.99,"Sanders, Hess and Ford",Low Stock,20/12/2022
1642, widget c ,ELECTRONICS,Warehouse 3,Aisle 4,300,29.99,Kane LLC,Low Stock,
1768, widget c ,FURNITURE,Warehouse 1,Aisle 1,100,,"Carpenter, Graham and Aguilar",Low Stock,15/01/2023
1004, gadget z ,CLOTHING,Warehouse 1,Aisle 3,50,19.99,Carter Inc,Out of Stock,
1217, widget c ,CLOTHING,Warehouse 3,Aisle 3,50,29.99,Phillips Group,Low Stock,
1502, gadget x ,TOYS,Warehouse 1,Aisle 2,two hundred,29.99,Rodriguez-Macias,In Stock,20/12/2022
1766, gadget y ,CLOTHING,Warehouse 1,Aisle 4,two hundred,49.99,Thomas-Payne,Out of Stock,15/01/2023
1397, widget b ,ELECTRONICS,Warehouse 1,Aisle 4,100,29.99,Crawford PLC,In Stock,05/03/2023
1870, widget b ,ELECTRONICS,Warehouse 3,Aisle 4,150,19.99,Dawson-Myers,Low Stock,05/03/2023
1794, gadget z ,CLOTHING,Warehouse 3,Aisle 2,two hundred,19.99,"Cortez, Sanders and Rosales",In Stock,25/04/2023
1392, widget c ,ELECTRONICS,Warehouse 1,Aisle 4,two hundred,,"Johnson, Bailey and Vincent",Low Stock,
1206, widget c ,FURNITURE,Warehouse 1,Aisle 3,50,,"Benson, Mullins and Ayers",Low Stock,
1014, widget a ,FURNITURE,Warehouse 3,Aisle 1,150,,Moore Ltd,Out of Stock,15/01/2023
1857, gadget y ,CLOTHING,Warehouse 3,Aisle 3,300,29.99,Osborne-Vaughn,Out of Stock,05/03/2023
1553, gadget x ,FURNITURE,Warehouse 1,Aisle 3,100,29.99,Nelson-Vazquez,Low Stock,25/04/2023
1891, widget b ,FURNITURE,Warehouse 1,Aisle 1,two hundred,49.99,"Hernandez, Ford and Rogers",Out of Stock,15/01/2023
1460, widget a ,TOYS,Warehouse 1,Aisle 3,150,,"Taylor, Herrera and Davis",In Stock,
1690, widget a ,TOYS,Warehouse 2,Aisle 2,150,9.99,Johnson-Clark,Out of Stock,05/03/2023
1574, gadget z ,FURNITURE,Warehouse 3,Aisle 1,100,49.99,"Morris, Schwartz and Moreno",Out of Stock,25/04/2023
1863, widget b ,CLOTHING,Warehouse 2,Aisle 3,150,9.99,Jones LLC,In Stock,20/12/2022
1742, gadget z ,TOYS,Warehouse 3,Aisle 5,150,29.99,Petty PLC,Out of Stock,05/03/2023
1240, gadget x ,ELECTRONICS,Warehouse 3,Aisle 3,150,49.99,Levy-Young,Low Stock,25/04/2023
1563, widget a ,ELECTRONICS,Warehouse 3,Aisle 2,two hundred,49.99,Johnson-Stewart,In Stock,15/01/2023
1095, widget a ,ELECTRONICS,Warehouse 3,Aisle 4,100,19.99,Ward-Ramirez,Low Stock,20/12/2022
1899, gadget y ,CLOTHING,Warehouse 3,Aisle 3,150,29.99,Conley Ltd,In Stock,25/04/2023
1733, gadget x ,FURNITURE,Warehouse 3,Aisle 4,150,29.99,Love-Mcbride,Low Stock,25/04/2023
1484, widget a ,ELECTRONICS,Warehouse 3,Aisle 5,two hundred,49.99,"Moss, Delgado and Barber",Low Stock,
1406, gadget x ,CLOTHING,Warehouse 2,Aisle 3,100,29.99,Hoffman Ltd,Out of Stock,05/03/2023
1230, widget b ,TOYS,Warehouse 1,Aisle 1,50,49.99,"Hill, Martinez and Wagner",Low Stock,
1748, widget c ,FURNITURE,Warehouse 1,Aisle 4,two hundred,19.99,"Morris, Stewart and Henderson",Out of Stock,20/12/2022
1654, widget a ,TOYS,Warehouse 2,Aisle 5,100,49.99,Garcia PLC,In Stock,25/04/2023
1170, gadget y ,CLOTHING,Warehouse 2,Aisle 1,150,29.99,"Hurst, Harris and Rivera",Low Stock,
1540, widget b ,ELECTRONICS,Warehouse 2,Aisle 1,100,29.99,"Garcia, Hutchinson and Duffy",Low Stock,05/03/2023
1035, gadget x ,ELECTRONICS,Warehouse 2,Aisle 1,100,49.99,"Foster, Martinez and Whitaker",In Stock,20/12/2022
1524, gadget z ,CLOTHING,Warehouse 3,Aisle 1,300,49.99,Kelly-Hernandez,In Stock,15/01/2023
1159, widget b ,ELECTRONICS,Warehouse 1,Aisle 3,100,49.99,Hayden-Jacobs,Low Stock,
1838, widget a ,FURNITURE,Warehouse 3,Aisle 3,50,,Cohen-Thompson,In Stock,20/12/2022
1698, gadget x ,CLOTHING,Warehouse 1,Aisle 3,100,29.99,"Turner, Thomas and Cannon",Out of Stock,15/01/2023
1242, widget c ,TOYS,Warehouse 1,Aisle 5,50,29.99,"Taylor, Thompson and Hall",In Stock,
1085, widget b ,CLOTHING,Warehouse 2,Aisle 5,150,,"Perez, Silva and Lewis",In Stock,20/12/2022
1795, widget a ,FURNITURE,Warehouse 3,Aisle 5,50,49.99,Riley-Grimes,Low Stock,20/12/2022
1577, gadget y ,FURNITURE,Warehouse 2,Aisle 2,150,19.99,"Smith, Barajas and Thomas",Out of Stock,
1681, gadget z ,CLOTHING,Warehouse 3,Aisle 5,150,49.99,Daniels LLC,In Stock,20/12/2022
1556, gadget x ,CLOTHING,Warehouse 1,Aisle 3,50,49.99,Soto Ltd,Out of Stock,25/04/2023
1573, widget b ,ELECTRONICS,Warehouse 2,Aisle 3,two hundred,,Russell Ltd,Out of Stock,
1952, widget b ,FURNITURE,Warehouse 2,Aisle 2,,29.99,Francis and Sons,Out of Stock,20/12/2022
1645, widget c ,CLOTHING,Warehouse 1,Aisle 2,100,49.99,Fields Ltd,Low Stock,15/01/2023
1795, widget c ,CLOTHING,Warehouse 1,Aisle 5,300,29.99,Reed Group,In Stock,15/01/2023
1027, gadget y ,FURNITURE,Warehouse 1,Aisle 4,,9.99,"Smith, Lopez and Smith",Low Stock,25/04/2023
1619, gadget z ,CLOTHING,Warehouse 2,Aisle 2,100,29.99,Ruiz Ltd,In Stock,
1555, gadget y ,ELECTRONICS,Warehouse 3,Aisle 1,100,19.99,Larsen-Patel,In Stock,20/12/2022
1339, widget a ,FURNITURE,Warehouse 2,Aisle 3,150,19.99,Drake Ltd,Low Stock,20/12/2022
1797, widget a ,ELECTRONICS,Warehouse 3,Aisle 1,100,49.99,"Vang, Turner and Whitney",Out of Stock,15/01/2023
1957, gadget y ,ELECTRONICS,Warehouse 2,Aisle 3,300,29.99,Williams-Davis,Out of Stock,25/04/2023
1330, gadget z ,ELECTRONICS,Warehouse 2,Aisle 3,100,49.99,Brown Inc,In Stock,15/01/2023
1639, gadget y ,ELECTRONICS,Warehouse 1,Aisle 2,50,,"Cook, Butler and Johnson",Low Stock,15/01/2023
1505, gadget z ,FURNITURE,Warehouse 3,Aisle 2,,19.99,Nichols-Rivera,Out of Stock,25/04/2023
1347, gadget z ,ELECTRONICS,Warehouse 2,Aisle 1,50,49.99,Mills-Martinez,Out of Stock,
1472, gadget x ,ELECTRONICS,Warehouse 2,Aisle 3,300,,"Baldwin, Short and Martin",In Stock,20/12/2022
